league,split,date,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LCK,2018-2,43263.32191,1.1,3,Red,Middle,Lava,Hanwha Life Esports,Irelia,Taliyah,Pyke,Taric,Soraka,Shen,0
LCK,2018-2,43263.32191,1.1,3,Red,ADC,Sangyoon,Hanwha Life Esports,Ezreal,Taliyah,Pyke,Taric,Soraka,Shen,0
LCK,2018-2,43263.32191,1.1,3,Red,Support,Key,Hanwha Life Esports,Kennen,Taliyah,Pyke,Taric,Soraka,Shen,0
LCK,2018-2,43263.32191,1.1,3,Blue,Team,Team,Griffin, ,Alistar,Lucian,Skarner,Fiddlesticks,Lulu,1
LCK,2018-2,43263.32191,1.1,3,Red,Team,Team,Hanwha Life Esports, ,Taliyah,Pyke,Taric,Soraka,Shen,0
LCK,2018-2,43263.98007,1.2,1,Blue,Top,Khan,Kingzone DragonX,Jayce,Graves,Vladimir,Shen,Tahm Kench,Morgana,1
LCK,2018-2,43263.98007,1.2,1,Blue,Jungle,Cuzz,Kingzone DragonX,Xin Zhao,Graves,Vladimir,Shen,Tahm Kench,Morgana,1
LCK,2018-2,43263.98007,1.2,1,Blue,Middle,Bdd,Kingzone DragonX,Zoe,Graves,Vladimir,Shen,Tahm Kench,Morgana,1
LCK,2018-2,43263.98007,1.2,1,Blue,ADC,PraY,Kingzone DragonX,Mordekaiser,Graves,Vladimir,Shen,Tahm Kench,Morgana,1
LCK,2018-2,43263.98007,1.2,1,Blue,Support,GorillA,Kingzone DragonX,Alistar,Graves,Vladimir,Shen,Tahm Kench,Morgana,1
LCK,2018-2,43263.98007,1.2,1,Red,Top,CuVee,Gen.G,Ornn,Taliyah,Irelia,Lucian,Camille,Gangplank,0
LCK,2018-2,43263.98007,1.2,1,Red,Jungle,Ambition,Gen.G,Skarner,Taliyah,Irelia,Lucian,Camille,Gangplank,0
LCK,2018-2,43263.98007,1.2,1,Red,Middle,Fly,Gen.G,Lulu,Taliyah,Irelia,Lucian,Camille,Gangplank,0
LCK,2018-2,43263.98007,1.2,1,Red,ADC,Ruler,Gen.G,Kog'Maw,Taliyah,Irelia,Lucian,Camille,Gangplank,0
LCK,2018-2,43263.98007,1.2,1,Red,Support,CoreJJ,Gen.G,Braum,Taliyah,Irelia,Lucian,Camille,Gangplank,0
