league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
NALCS,2018-2,1,2,Blue,Team,Team,Cloud9, ,Ezreal,Viktor,Yasuo,Draven,Kai'Sa,1
NALCS,2018-2,1,2,Red,Team,Team,OpTic Gaming, ,Zoe,Irelia,Brand,Aatrox,Dr. Mundo,0
LCK,2018-2,1.6,2,Blue,Team,Team,Hanwha Life Esports, ,Taric,Braum,Zoe,Dr. Mundo,Ornn,1
LCK,2018-2,1.6,2,Red,Team,Team,Jin Air Green Wings, ,Taliyah,Camille,Vladimir,Morgana,Soraka,0
NALCS,2018-2,1,1,Blue,Team,Team,Echo Fox, ,Brand,Lucian,Zoe,Renekton,Mordekaiser,1
NALCS,2018-2,1,1,Red,Team,Team,FlyQuest, ,Camille,Taliyah,Graves,Vladimir,Aatrox,0
LPL,2018-2,1,1,Blue,Team,Team,JD Gaming, ,Rek'Sai,Skarner,Rakan,Irelia,Singed,0
LPL,2018-2,1,1,Red,Team,Team,Bilibili Gaming, ,Graves,Fiddlesticks,Zoe,Aatrox,Gangplank,1
LPL,2018-2,1,2,Blue,Team,Team,Bilibili Gaming, ,Fiddlesticks,Graves,Zoe,Aatrox,Ryze,0
LPL,2018-2,1,2,Red,Team,Team,JD Gaming, ,Rek'Sai,Skarner,Camille,Singed,Yasuo,1
LPL,2018-2,1,3,Blue,Team,Team,JD Gaming, ,Alistar,Camille,Morgana,Zilean,Singed,1
LPL,2018-2,1,3,Red,Team,Team,Bilibili Gaming, ,Zoe,Lucian,Rakan,Fiddlesticks,Braum,0
LPL,2018-2,1,1,Blue,Team,Team,Edward Gaming, ,Karthus,Vladimir,Xin Zhao,Alistar,Rakan,1
LPL,2018-2,1,1,Red,Team,Team,Funplus Phoenix, ,Mordekaiser,Irelia,Zoe,Shen,Tahm Kench,0
LPL,2018-2,1,2,Blue,Team,Team,Edward Gaming, ,Karthus,Vladimir,Xin Zhao,Morgana,Jax,0
LPL,2018-2,1,2,Red,Team,Team,Funplus Phoenix, ,Mordekaiser,Darius,Zoe,Singed,Fiddlesticks,1
