league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LPL,2018-2,5,3,Red,Jungle,Flawless,Rogue Warriors,Kindred,Aatrox,Rakan,Darius,Pyke,Tahm Kench,0
LPL,2018-2,5,3,Red,Middle,Doinb,Rogue Warriors,Lulu,Aatrox,Rakan,Darius,Pyke,Tahm Kench,0
LPL,2018-2,5,3,Red,Support,killua,Rogue Warriors,Morgana,Aatrox,Rakan,Darius,Pyke,Tahm Kench,0
LPL,2018-2,5,3,Red,Top,Mouse,Rogue Warriors,Gragas,Aatrox,Rakan,Darius,Pyke,Tahm Kench,0
LPL,2018-2,5,1,Blue,ADC,Y4,LGD Gaming,Orianna,Kindred,Kled,Gnar,Talon,Lucian,1
LPL,2018-2,5,1,Blue,Jungle,Eimy,LGD Gaming,Gragas,Kindred,Kled,Gnar,Talon,Lucian,1
LPL,2018-2,5,1,Blue,Middle,Yuuki,LGD Gaming,Yasuo,Kindred,Kled,Gnar,Talon,Lucian,1
LPL,2018-2,5,1,Blue,Support,Pyl,LGD Gaming,Tahm Kench,Kindred,Kled,Gnar,Talon,Lucian,1
LPL,2018-2,5,1,Blue,Top,Jinoo,LGD Gaming,Gangplank,Kindred,Kled,Gnar,Talon,Lucian,1
LPL,2018-2,5,1,Red,ADC,GENTLE,Team WE,Varus,Aatrox,Camille,Swain,Darius,Kennen,0
LPL,2018-2,5,1,Red,Jungle,Condi,Team WE,Taliyah,Aatrox,Camille,Swain,Darius,Kennen,0
LPL,2018-2,5,1,Red,Middle,xiye,Team WE,Zoe,Aatrox,Camille,Swain,Darius,Kennen,0
LPL,2018-2,5,1,Red,Support,Missing,Team WE,Shen,Aatrox,Camille,Swain,Darius,Kennen,0
LPL,2018-2,5,1,Red,Top,957,Team WE,Dr. Mundo,Aatrox,Camille,Swain,Darius,Kennen,0
LPL,2018-2,5,2,Blue,ADC,GENTLE,Team WE,Swain,Orianna,Nocturne,Zoe,Ashe,Draven,0
LPL,2018-2,5,2,Blue,Jungle,Condi,Team WE,Trundle,Orianna,Nocturne,Zoe,Ashe,Draven,0
LPL,2018-2,5,2,Blue,Middle,xiye,Team WE,Galio,Orianna,Nocturne,Zoe,Ashe,Draven,0
LPL,2018-2,5,2,Blue,Support,Missing,Team WE,Morgana,Orianna,Nocturne,Zoe,Ashe,Draven,0
LPL,2018-2,5,2,Blue,Top,957,Team WE,Gnar,Orianna,Nocturne,Zoe,Ashe,Draven,0
LPL,2018-2,5,2,Red,ADC,Y4,LGD Gaming,Viktor,Aatrox,Camille,Kled,LeBlanc,Vladimir,1
LPL,2018-2,5,2,Red,Jungle,Eimy,LGD Gaming,Gragas,Aatrox,Camille,Kled,LeBlanc,Vladimir,1
LPL,2018-2,5,2,Red,Middle,Yuuki,LGD Gaming,Yasuo,Aatrox,Camille,Kled,LeBlanc,Vladimir,1
LPL,2018-2,5,2,Red,Support,Pyl,LGD Gaming,Tahm Kench,Aatrox,Camille,Kled,LeBlanc,Vladimir,1
LPL,2018-2,5,2,Red,Top,Jinoo,LGD Gaming,Quinn,Aatrox,Camille,Kled,LeBlanc,Vladimir,1
LPL,2018-2,5,1,Blue,ADC,Qiuqiu,Topsports Gaming,Swain,Irelia,Talon,Tahm Kench,LeBlanc,Kennen,1
LPL,2018-2,5,1,Blue,Jungle,Xx,Topsports Gaming,Taliyah,Irelia,Talon,Tahm Kench,LeBlanc,Kennen,1
LPL,2018-2,5,1,Blue,Middle,Ggoong,Topsports Gaming,Kled,Irelia,Talon,Tahm Kench,LeBlanc,Kennen,1
LPL,2018-2,5,1,Blue,Support,CAT,Topsports Gaming,Trundle,Irelia,Talon,Tahm Kench,LeBlanc,Kennen,1
LPL,2018-2,5,1,Blue,Top,Lies,Topsports Gaming,Darius,Irelia,Talon,Tahm Kench,LeBlanc,Kennen,1
LPL,2018-2,5,1,Red,ADC,Y4,LGD Gaming,Orianna,Gragas,Aatrox,Zoe,Nocturne,Camille,0
LPL,2018-2,5,1,Red,Jungle,ReGank,LGD Gaming,Kindred,Gragas,Aatrox,Zoe,Nocturne,Camille,0
LPL,2018-2,5,1,Red,Middle,Yuuki,LGD Gaming,Zed,Gragas,Aatrox,Zoe,Nocturne,Camille,0
LPL,2018-2,5,1,Red,Support,Pyl,LGD Gaming,Morgana,Gragas,Aatrox,Zoe,Nocturne,Camille,0
LPL,2018-2,5,1,Red,Top,Jinoo,LGD Gaming,Ornn,Gragas,Aatrox,Zoe,Nocturne,Camille,0
LPL,2018-2,5,2,Blue,ADC,Y4,LGD Gaming,Swain,LeBlanc,Vladimir,Gragas,Taliyah,Kindred,1
LPL,2018-2,5,2,Blue,Jungle,Eimy,LGD Gaming,Nocturne,LeBlanc,Vladimir,Gragas,Taliyah,Kindred,1
LPL,2018-2,5,2,Blue,Middle,Yuuki,LGD Gaming,Talon,LeBlanc,Vladimir,Gragas,Taliyah,Kindred,1
LPL,2018-2,5,2,Blue,Support,Pyl,LGD Gaming,Fiddlesticks,LeBlanc,Vladimir,Gragas,Taliyah,Kindred,1
LPL,2018-2,5,2,Blue,Top,Jinoo,LGD Gaming,Dr. Mundo,LeBlanc,Vladimir,Gragas,Taliyah,Kindred,1
LPL,2018-2,5,2,Red,ADC,Qiuqiu,Topsports Gaming,Morgana,Zoe,Tahm Kench,Aatrox,Orianna,Shen,0
LPL,2018-2,5,2,Red,Jungle,Xx,Topsports Gaming,Graves,Zoe,Tahm Kench,Aatrox,Orianna,Shen,0
LPL,2018-2,5,2,Red,Middle,Ggoong,Topsports Gaming,Galio,Zoe,Tahm Kench,Aatrox,Orianna,Shen,0
LPL,2018-2,5,2,Red,Support,CAT,Topsports Gaming,Pyke,Zoe,Tahm Kench,Aatrox,Orianna,Shen,0
LPL,2018-2,5,2,Red,Top,Lies,Topsports Gaming,Darius,Zoe,Tahm Kench,Aatrox,Orianna,Shen,0
LPL,2018-2,5,3,Blue,ADC,Qiuqiu,Topsports Gaming,Xayah,Talon,Tahm Kench,Nocturne,Dr. Mundo,Fiora,0
LPL,2018-2,5,3,Blue,Jungle,Xx,Topsports Gaming,Taliyah,Talon,Tahm Kench,Nocturne,Dr. Mundo,Fiora,0
LPL,2018-2,5,3,Blue,Middle,Ggoong,Topsports Gaming,Vladimir,Talon,Tahm Kench,Nocturne,Dr. Mundo,Fiora,0
LPL,2018-2,5,3,Blue,Support,CAT,Topsports Gaming,Rakan,Talon,Tahm Kench,Nocturne,Dr. Mundo,Fiora,0
LPL,2018-2,5,3,Blue,Top,Lies,Topsports Gaming,Kled,Talon,Tahm Kench,Nocturne,Dr. Mundo,Fiora,0
LPL,2018-2,5,3,Red,ADC,Y4,LGD Gaming,Orianna,Aatrox,Swain,Zoe,Trundle,Fiddlesticks,1
LPL,2018-2,5,3,Red,Jungle,Eimy,LGD Gaming,Sejuani,Aatrox,Swain,Zoe,Trundle,Fiddlesticks,1
LPL,2018-2,5,3,Red,Middle,Yuuki,LGD Gaming,Irelia,Aatrox,Swain,Zoe,Trundle,Fiddlesticks,1
